,num_convlstm,convlstm_filters,convlstm_kernels,convlstm_dropout,convlstm_rec_dropout,convlstm_kernel_reg,batchnorm,num_conv2d,conv2d_filters,conv2d_kernels,max_pooling,num_lstm,lstm_units,lstm_dropout,lstm_kernel_reg,learning_rate,GAP,RMSPE_NN,MAPE_NN,RMSPE_Clim,MAPE_Clim,Timesteps,Name,Params,Image Size
0,2,"(64, 64)","((3, 3), (1, 1))",0.1,0.1,"(0.0001, 0.0001)",True,2,"(64, 1)","((3, 3), (3, 3))",True,2,"(64, 64)",0.1,"(0.0001, 0.0001)",0.001,False,5.104978794934658,3.3593503749389977,8.699484480824045,4.645978212641726,3T,../../Results/Improvements/8/0_3T,746882,"(25, 360)"
1,2,"(128, 128)","((3, 3), (1, 1))",0.1,0.1,"(0.0001, 0.0001)",True,2,"(64, 1)","((3, 3), (3, 3))",True,2,"(64, 64)",0.1,"(0.0001, 0.0001)",0.001,False,4.884058273215926,3.2886300660836474,8.699484480824045,4.645978212641726,3T,../../Results/Improvements/8/1_3T,1368962,"(25, 360)"
2,2,"(32, 32)","((3, 3), (1, 1))",0.1,0.1,"(0.0001, 0.0001)",True,2,"(64, 1)","((3, 3), (3, 3))",True,2,"(64, 64)",0.1,"(0.0001, 0.0001)",0.001,False,5.24404382754195,3.451316159652292,8.699484480824045,4.645978212641726,3T,../../Results/Improvements/8/2_3T,571010,"(25, 360)"
3,2,"(64, 64)","((3, 3), (1, 1))",0.1,0.1,"(0.0001, 0.0001)",True,2,"(128, 1)","((3, 3), (3, 3))",True,2,"(64, 64)",0.1,"(0.0001, 0.0001)",0.001,False,5.636716173290123,3.463835102285636,8.699484480824045,4.645978212641726,3T,../../Results/Improvements/8/3_3T,784386,"(25, 360)"
4,2,"(64, 64)","((3, 3), (1, 1))",0.1,0.1,"(0.0001, 0.0001)",True,2,"(32, 1)","((3, 3), (3, 3))",True,2,"(64, 64)",0.1,"(0.0001, 0.0001)",0.001,False,6.051194002006299,3.659232305568041,8.699484480824045,4.645978212641726,3T,../../Results/Improvements/8/4_3T,728130,"(25, 360)"
5,2,"(64, 64)","((3, 3), (1, 1))",0.1,0.1,"(0.0001, 0.0001)",True,2,"(64, 1)","((3, 3), (3, 3))",True,2,"(128, 128)",0.1,"(0.0001, 0.0001)",0.001,False,6.131407179618011,3.6404027200080513,8.699484480824045,4.645978212641726,3T,../../Results/Improvements/8/5_3T,899202,"(25, 360)"
6,2,"(64, 64)","((3, 3), (1, 1))",0.1,0.1,"(0.0001, 0.0001)",True,2,"(64, 1)","((3, 3), (3, 3))",True,2,"(32, 32)",0.1,"(0.0001, 0.0001)",0.001,False,6.002184717232603,3.53024032592329,8.699484480824045,4.645978212641726,3T,../../Results/Improvements/8/6_3T,707586,"(25, 360)"
7,3,"(64, 64, 64)","((5, 5), (3, 3), (1, 1))",0.1,0.1,"(0.0001, 0.0001)",True,2,"(64, 1)","((3, 3), (3, 3))",True,2,"(64, 64)",0.1,"(0.0001, 0.0001)",0.001,False,5.487682545973481,3.4747230437911045,8.699484480824045,4.645978212641726,3T,../../Results/Improvements/8/7_3T,1287682,"(25, 360)"
8,3,"(64, 64, 64)","((5, 5), (3, 3), (1, 1))",0.1,0.1,"(0.0001, 0.0001)",True,3,"(64, 64, 1)","((5, 5), (3, 3), (3, 3))",True,3,"(64, 64, 64)",0.1,"(0.0001, 0.0001)",0.001,False,5.913880559643921,3.500076014995812,8.699484480824045,4.645978212641726,3T,../../Results/Improvements/8/10_3T,1142530,"(25, 360)"
9,2,"(64, 64)","((7, 7), (5, 5))",0.1,0.1,"(0.0001, 0.0001)",True,2,"(64, 1)","((5, 5), (3, 3))",True,2,"(64, 64)",0.1,"(0.0001, 0.0001)",0.001,False,5.8574762787556525,3.514806226511798,8.699484480824045,4.645978212641726,3T,../../Results/Improvements/8/14_3T,2216450,"(25, 360)"
11,3,"(64, 64, 64)","((5, 5), (3, 3), (1, 1))",0.1,0.1,"(0.0001, 0.0001)",True,3,"(64, 64, 1)","((5, 5), (3, 3), (3, 3))",True,2,"(64, 64)",0.1,"(0.0001, 0.0001)",0.001,False,5.535683771073529,3.3673521434624223,8.699484480824045,4.645978212641726,3T,../../Results/Improvements/8/8_3T,1109506,"(25, 360)"
1,2,"(64, 64)","((3, 3), (1, 1))",0.1,0.1,"(0.0001, 0.0001)",True,2,"(64, 1)","((3, 3), (3, 3))",True,2,"(64, 64)",0.1,"(0.0001, 0.0001)",0.001,False,5.981169310586151,3.603537910003969,8.804404174825551,4.720147764247487,5T,../../Results/Improvements/9/0_5T,746882,"(25, 360)"
2,2,"(64, 64)","((3, 3), (1, 1))",0.1,0.1,"(0.0001, 0.0001)",True,2,"(64, 1)","((3, 3), (3, 3))",True,2,"(64, 64)",0.1,"(0.0001, 0.0001)",0.001,False,5.480218154567496,3.5259266941529708,8.911506915530412,4.80116936933331,7T,../../Results/Improvements/9/0_7T,746882,"(25, 360)"
4,2,"(128, 128)","((3, 3), (1, 1))",0.1,0.1,"(0.0001, 0.0001)",True,2,"(64, 1)","((3, 3), (3, 3))",True,2,"(64, 64)",0.1,"(0.0001, 0.0001)",0.001,False,5.328688879356428,3.432184075915333,8.804404174825551,4.720147764247487,5T,../../Results/Improvements/9/1_5T,1368962,"(25, 360)"
5,2,"(128, 128)","((3, 3), (1, 1))",0.1,0.1,"(0.0001, 0.0001)",True,2,"(64, 1)","((3, 3), (3, 3))",True,2,"(64, 64)",0.1,"(0.0001, 0.0001)",0.001,False,5.15093720494999,3.5327488060791628,8.911506915530412,4.80116936933331,7T,../../Results/Improvements/9/1_7T,1368962,"(25, 360)"
7,2,"(32, 32)","((3, 3), (1, 1))",0.1,0.1,"(0.0001, 0.0001)",True,2,"(64, 1)","((3, 3), (3, 3))",True,2,"(64, 64)",0.1,"(0.0001, 0.0001)",0.001,False,6.100518822721158,3.731496498909987,8.804404174825551,4.720147764247487,5T,../../Results/Improvements/9/2_5T,571010,"(25, 360)"
8,2,"(32, 32)","((3, 3), (1, 1))",0.1,0.1,"(0.0001, 0.0001)",True,2,"(64, 1)","((3, 3), (3, 3))",True,2,"(64, 64)",0.1,"(0.0001, 0.0001)",0.001,False,6.776038014364308,4.033281503981765,8.911506915530412,4.80116936933331,7T,../../Results/Improvements/9/2_7T,571010,"(25, 360)"
10,3,"(64, 64, 64)","((5, 5), (3, 3), (1, 1))",0.1,0.1,"(0.0001, 0.0001)",True,2,"(64, 1)","((3, 3), (3, 3))",True,2,"(64, 64)",0.1,"(0.0001, 0.0001)",0.001,False,6.771843502272662,3.74162923644106,8.804404174825551,4.720147764247487,5T,../../Results/Improvements/9/3_5T,1287682,"(25, 360)"
11,3,"(64, 64, 64)","((5, 5), (3, 3), (1, 1))",0.1,0.1,"(0.0001, 0.0001)",True,2,"(64, 1)","((3, 3), (3, 3))",True,2,"(64, 64)",0.1,"(0.0001, 0.0001)",0.001,False,5.488985794379743,3.524844095655593,8.911506915530412,4.80116936933331,7T,../../Results/Improvements/9/3_7T,1287682,"(25, 360)"
0,2,"(64, 64)","((3, 3), (1, 1))",0.1,0.1,"(0.0001, 0.0001)",True,2,"(64, 1)","((3, 3), (3, 3))",True,2,"(64, 64)",0.1,"(0.0001, 0.0001)",0.001,True,6.126628798442014,3.566568765132054,8.699484480824045,4.645978212641726,3T,../../Results/Improvements/10/0_3T,316482,"(25, 360)"
1,2,"(128, 128)","((3, 3), (1, 1))",0.1,0.1,"(0.0001, 0.0001)",True,2,"(64, 1)","((3, 3), (3, 3))",True,2,"(64, 64)",0.1,"(0.0001, 0.0001)",0.001,True,5.732026476418008,3.4988059773249507,8.699484480824045,4.645978212641726,3T,../../Results/Improvements/10/1_3T,938562,"(25, 360)"
2,2,"(32, 32)","((3, 3), (1, 1))",0.1,0.1,"(0.0001, 0.0001)",True,2,"(64, 1)","((3, 3), (3, 3))",True,2,"(64, 64)",0.1,"(0.0001, 0.0001)",0.001,True,5.215188972280836,3.373922565966872,8.699484480824045,4.645978212641726,3T,../../Results/Improvements/10/2_3T,140610,"(25, 360)"
3,3,"(64, 64, 64)","((5, 5), (3, 3), (1, 1))",0.1,0.1,"(0.0001, 0.0001)",True,2,"(64, 1)","((3, 3), (3, 3))",True,2,"(64, 64)",0.1,"(0.0001, 0.0001)",0.001,True,5.068509000091645,3.283236613885193,8.699484480824045,4.645978212641726,3T,../../Results/Improvements/10/3_3T,951746,"(25, 360)"
0,3,"(64, 64, 64)","((5, 5), (3, 3), (1, 1))",0.2,0.2,"(0.001, 0.001)",True,3,"(64, 64, 1)","((5, 5), (3, 3), (3, 3))",True,3,"(64, 64, 64)",0.2,"(0.001, 0.001)",0.001,False,8.904653057753269,4.689620757646271,8.699484480824045,4.645978212641726,3T,../../Results/Improvements/11/10_3T,1142530,"(25, 360)"
1,2,"(64, 64)","((7, 7), (5, 5))",0.2,0.2,"(0.001, 0.001)",True,2,"(64, 1)","((5, 5), (3, 3))",True,2,"(64, 64)",0.2,"(0.001, 0.001)",0.001,False,6.335123347509793,3.6308059598018416,8.699484480824045,4.645978212641726,3T,../../Results/Improvements/11/14_3T,2216450,"(25, 360)"
3,2,"(128, 128)","((3, 3), (1, 1))",0.2,0.2,"(0.001, 0.001)",True,2,"(64, 1)","((3, 3), (3, 3))",True,2,"(64, 64)",0.2,"(0.001, 0.001)",0.001,True,6.293436999820902,3.6226378517773914,8.699484480824045,4.645978212641726,3T,../../Results/Improvements/11/1_3T,938562,"(25, 360)"
4,2,"(32, 32)","((3, 3), (1, 1))",0.2,0.2,"(0.001, 0.001)",True,2,"(64, 1)","((3, 3), (3, 3))",True,2,"(64, 64)",0.2,"(0.001, 0.001)",0.001,True,5.602256899978229,3.4293436725702118,8.699484480824045,4.645978212641726,3T,../../Results/Improvements/11/2_3T,140610,"(25, 360)"
5,2,"(64, 64)","((3, 3), (1, 1))",0.2,0.2,"(0.001, 0.001)",True,2,"(128, 1)","((3, 3), (3, 3))",True,2,"(64, 64)",0.2,"(0.001, 0.001)",0.001,False,6.082363824196436,3.554425713400029,8.699484480824045,4.645978212641726,3T,../../Results/Improvements/11/3_3T,784386,"(25, 360)"
6,2,"(64, 64)","((3, 3), (1, 1))",0.2,0.2,"(0.001, 0.001)",True,2,"(32, 1)","((3, 3), (3, 3))",True,2,"(64, 64)",0.2,"(0.001, 0.001)",0.001,False,6.33681381653684,3.6473230159519,8.699484480824045,4.645978212641726,3T,../../Results/Improvements/11/4_3T,728130,"(25, 360)"
7,2,"(64, 64)","((3, 3), (1, 1))",0.2,0.2,"(0.001, 0.001)",True,2,"(64, 1)","((3, 3), (3, 3))",True,2,"(128, 128)",0.2,"(0.001, 0.001)",0.001,False,6.307968564254403,3.653138169869955,8.699484480824045,4.645978212641726,3T,../../Results/Improvements/11/5_3T,899202,"(25, 360)"
8,2,"(64, 64)","((3, 3), (1, 1))",0.2,0.2,"(0.001, 0.001)",True,2,"(64, 1)","((3, 3), (3, 3))",True,2,"(32, 32)",0.2,"(0.001, 0.001)",0.001,False,6.971429353509481,4.087013159674374,8.699484480824045,4.645978212641726,3T,../../Results/Improvements/11/6_3T,707586,"(25, 360)"
9,3,"(64, 64, 64)","((5, 5), (3, 3), (1, 1))",0.2,0.2,"(0.001, 0.001)",True,2,"(64, 1)","((3, 3), (3, 3))",True,2,"(64, 64)",0.2,"(0.001, 0.001)",0.001,True,5.7663940089389145,3.5176494523303536,8.699484480824045,4.645978212641726,3T,../../Results/Improvements/11/7_3T,951746,"(25, 360)"
10,3,"(64, 64, 64)","((5, 5), (3, 3), (1, 1))",0.2,0.2,"(0.001, 0.001)",True,3,"(64, 64, 1)","((5, 5), (3, 3), (3, 3))",True,2,"(64, 64)",0.2,"(0.001, 0.001)",0.001,False,6.378983646318388,3.6989515224780334,8.699484480824045,4.645978212641726,3T,../../Results/Improvements/11/8_3T,1109506,"(25, 360)"
0,2,"(64, 64)","((3, 3), (1, 1))",0.2,0.2,"(0.001, 0.001)",True,3,"(64, 64, 1)","((5, 5), (3, 3), (1, 1))",True,2,"(64, 64)",0.2,"(0.001, 0.001)",0.001,True,6.15304569519613,3.5680413801041984,8.699484480824045,4.645978212641726,3T,../../Results/Improvements/12/0_3T,418434,"(50, 720)"
1,2,"(32, 32)","((3, 3), (1, 1))",0.2,0.2,"(0.001, 0.001)",True,3,"(64, 64, 1)","((5, 5), (3, 3), (1, 1))",True,2,"(64, 64)",0.2,"(0.001, 0.001)",0.001,True,6.278083582017745,3.5978848711399745,8.699484480824045,4.645978212641726,3T,../../Results/Improvements/12/2_3T,209794,"(50, 720)"
2,2,"(64, 64)","((3, 3), (1, 1))",0.2,0.2,"(0.001, 0.001)",True,3,"(128, 128, 1)","((5, 5), (3, 3), (1, 1))",True,2,"(64, 64)",0.2,"(0.001, 0.001)",0.001,False,6.180294616513353,3.579162257444774,8.699484480824045,4.645978212641726,3T,../../Results/Improvements/12/3_3T,1110018,"(50, 720)"
3,2,"(64, 64)","((3, 3), (1, 1))",0.2,0.2,"(0.001, 0.001)",True,3,"(32, 32, 1)","((5, 5), (3, 3), (1, 1))",True,2,"(64, 64)",0.2,"(0.001, 0.001)",0.001,False,6.267800547447387,3.682081461786588,8.699484480824045,4.645978212641726,3T,../../Results/Improvements/12/4_3T,817890,"(50, 720)"
4,2,"(64, 64)","((3, 3), (1, 1))",0.2,0.2,"(0.001, 0.001)",True,3,"(64, 64, 1)","((5, 5), (3, 3), (1, 1))",True,2,"(128, 128)",0.2,"(0.001, 0.001)",0.001,False,6.1527086685768495,3.564079629065536,8.699484480824045,4.645978212641726,3T,../../Results/Improvements/12/5_3T,1049154,"(50, 720)"
5,2,"(64, 64)","((3, 3), (1, 1))",0.2,0.2,"(0.001, 0.001)",True,3,"(64, 64, 1)","((5, 5), (3, 3), (1, 1))",True,2,"(32, 32)",0.2,"(0.001, 0.001)",0.001,False,6.388768954374324,3.668764599144098,8.699484480824045,4.645978212641726,3T,../../Results/Improvements/12/6_3T,857538,"(50, 720)"
6,3,"(64, 64, 64)","((5, 5), (3, 3), (1, 1))",0.2,0.2,"(0.001, 0.001)",True,3,"(64, 64, 1)","((5, 5), (3, 3), (1, 1))",True,2,"(64, 64)",0.2,"(0.001, 0.001)",0.001,True,6.253213101534769,3.6126590303826895,8.699484480824045,4.645978212641726,3T,../../Results/Improvements/12/7_3T,1053698,"(50, 720)"
7,3,"(64, 64, 64)","((5, 5), (3, 3), (1, 1))",0.2,0.2,"(0.001, 0.001)",True,4,"(64, 64, 64, 1)","((5, 5), (5, 5), (3, 3), (1, 1))",True,2,"(64, 64)",0.2,"(0.001, 0.001)",0.001,False,6.3001293926792,3.623393402326705,8.699484480824045,4.645978212641726,3T,../../Results/Improvements/12/8_3T,1539074,"(50, 720)"
8,3,"(64, 64, 64)","((5, 5), (3, 3), (1, 1))",0.2,0.2,"(0.001, 0.001)",True,3,"(64, 64, 1)","((5, 5), (3, 3), (1, 1))",True,3,"(64, 64, 64)",0.2,"(0.001, 0.001)",0.001,False,8.901511085842472,4.688668098312914,8.699484480824045,4.645978212641726,3T,../../Results/Improvements/12/9_3T,1517122,"(50, 720)"
9,2,"(64, 64)","((7, 7), (5, 5))",0.2,0.2,"(0.001, 0.001)",True,3,"(64, 64, 1)","((5, 5), (3, 3), (1, 1))",True,2,"(64, 64)",0.2,"(0.001, 0.001)",0.001,False,6.2495064717561934,3.6415592617795887,8.699484480824045,4.645978212641726,3T,../../Results/Improvements/12/13_3T,2437698,"(50, 720)"
