RMSPE_NN,MAPE_NN,RMSPE_Clim,MAPE_Clim,var,model_name
4.884058295963091,3.288630053920326,8.699484480824045,4.645978212641726,all,../Results/8/1_3T
4.917734271042997,3.31279975046223,8.699484480824045,4.645978212641726,d2m,../Results/8/1_3T
4.875284638751827,3.284307602051373,8.699484480824045,4.645978212641726,e,../Results/8/1_3T
4.943341071905325,3.3417669715934717,8.699484480824045,4.645978212641726,fg10,../Results/8/1_3T
4.854755076196999,3.2598831853960455,8.699484480824045,4.645978212641726,msl,../Results/8/1_3T
4.855381991216092,3.2489200152484417,8.699484480824045,4.645978212641726,mwd,../Results/8/1_3T
4.941592680736022,3.3569269899653933,8.699484480824045,4.645978212641726,mwp,../Results/8/1_3T
5.042627474251216,3.3888392763266184,8.699484480824045,4.645978212641726,sf,../Results/8/1_3T
4.909300851586319,3.3056674806492303,8.699484480824045,4.645978212641726,siconc,../Results/8/1_3T
4.891197981424828,3.2822683031881508,8.699484480824045,4.645978212641726,slhf,../Results/8/1_3T
4.861723415344928,3.2686614302859094,8.699484480824045,4.645978212641726,smlt,../Results/8/1_3T
4.8821015449106895,3.298992265682891,8.699484480824045,4.645978212641726,sshf,../Results/8/1_3T
5.016394249252887,3.3941788286226675,8.699484480824045,4.645978212641726,ssrd,../Results/8/1_3T
4.9346293567810475,3.3008466167005848,8.699484480824045,4.645978212641726,sst,../Results/8/1_3T
4.883325602115921,3.2954140628603876,8.699484480824045,4.645978212641726,swh,../Results/8/1_3T
4.877255028315745,3.2986396640427724,8.699484480824045,4.645978212641726,t2m,../Results/8/1_3T
5.224720690081144,3.4006118283618103,8.699484480824045,4.645978212641726,tcc,../Results/8/1_3T
4.896724847311122,3.275568680027486,8.699484480824045,4.645978212641726,tp,../Results/8/1_3T
4.884576314594362,3.3134907163407825,8.699484480824045,4.645978212641726,u10,../Results/8/1_3T
4.845978413392114,3.2656111875922855,8.699484480824045,4.645978212641726,v10,../Results/8/1_3T
5.068508854033354,3.2832365813534428,8.699484480824045,4.645978212641726,all,../Results/10/3_3T
5.078576021644655,3.308250862813758,8.699484480824045,4.645978212641726,d2m,../Results/10/3_3T
5.065592912298243,3.281981266322407,8.699484480824045,4.645978212641726,e,../Results/10/3_3T
5.067612822927774,3.282482993635205,8.699484480824045,4.645978212641726,fg10,../Results/10/3_3T
5.064127165938491,3.289748478688915,8.699484480824045,4.645978212641726,msl,../Results/10/3_3T
5.068503048614402,3.283425042853495,8.699484480824045,4.645978212641726,mwd,../Results/10/3_3T
5.068455176136794,3.2829266858501174,8.699484480824045,4.645978212641726,mwp,../Results/10/3_3T
5.067959720923514,3.2829642321960337,8.699484480824045,4.645978212641726,sf,../Results/10/3_3T
5.067894104287209,3.283988060972608,8.699484480824045,4.645978212641726,siconc,../Results/10/3_3T
5.065254884712302,3.282327505891993,8.699484480824045,4.645978212641726,slhf,../Results/10/3_3T
5.068382518647919,3.2836606866422526,8.699484480824045,4.645978212641726,smlt,../Results/10/3_3T
5.065869027667319,3.2836436154792468,8.699484480824045,4.645978212641726,sshf,../Results/10/3_3T
5.305558733890878,3.363134091541357,8.699484480824045,4.645978212641726,ssrd,../Results/10/3_3T
5.068460879048716,3.2830857133609728,8.699484480824045,4.645978212641726,sst,../Results/10/3_3T
5.0684206287493145,3.282565226896573,8.699484480824045,4.645978212641726,swh,../Results/10/3_3T
5.078951069078536,3.313385222838268,8.699484480824045,4.645978212641726,t2m,../Results/10/3_3T
5.069141922507695,3.281795211920735,8.699484480824045,4.645978212641726,tcc,../Results/10/3_3T
5.067343528243395,3.2830526098621693,8.699484480824045,4.645978212641726,tp,../Results/10/3_3T
5.069914761258588,3.2916559960737097,8.699484480824045,4.645978212641726,u10,../Results/10/3_3T
5.0689874525880745,3.28272210293995,8.699484480824045,4.645978212641726,v10,../Results/10/3_3T
5.104978920830451,3.3593502872575653,8.699484480824045,4.645978212641726,all,../Results/8/0_3T
5.080921309341837,3.315635523032414,8.699484480824045,4.645978212641726,d2m,../Results/8/0_3T
5.175559751241276,3.4299597105774495,8.699484480824045,4.645978212641726,e,../Results/8/0_3T
5.148286818264876,3.413644414056241,8.699484480824045,4.645978212641726,fg10,../Results/8/0_3T
5.0592354536200554,3.3376809293702716,8.699484480824045,4.645978212641726,msl,../Results/8/0_3T
5.092891356772202,3.3330707386453633,8.699484480824045,4.645978212641726,mwd,../Results/8/0_3T
5.077016787887141,3.3432378870541632,8.699484480824045,4.645978212641726,mwp,../Results/8/0_3T
5.068204084876669,3.3054415915866873,8.699484480824045,4.645978212641726,sf,../Results/8/0_3T
5.142302190879994,3.375562989109817,8.699484480824045,4.645978212641726,siconc,../Results/8/0_3T
5.101879308132041,3.357912119763151,8.699484480824045,4.645978212641726,slhf,../Results/8/0_3T
5.214926328150176,3.460263381335707,8.699484480824045,4.645978212641726,smlt,../Results/8/0_3T
5.097325221692805,3.376441676541625,8.699484480824045,4.645978212641726,sshf,../Results/8/0_3T
5.037884269520165,3.3062451253578935,8.699484480824045,4.645978212641726,ssrd,../Results/8/0_3T
5.098859405337439,3.2805441383321448,8.699484480824045,4.645978212641726,sst,../Results/8/0_3T
5.122390947248688,3.3674368540178397,8.699484480824045,4.645978212641726,swh,../Results/8/0_3T
5.075888452155368,3.3380579337688796,8.699484480824045,4.645978212641726,t2m,../Results/8/0_3T
5.064910456287357,3.320979936202078,8.699484480824045,4.645978212641726,tcc,../Results/8/0_3T
5.1066832003303455,3.3711498714860175,8.699484480824045,4.645978212641726,tp,../Results/8/0_3T
5.0710626733430395,3.3402312557767306,8.699484480824045,4.645978212641726,u10,../Results/8/0_3T
5.098843788722752,3.37154197928595,8.699484480824045,4.645978212641726,v10,../Results/8/0_3T
5.150937244594267,3.532748841942686,8.911506915530412,4.80116936933331,all,../Results/9/1_7T
5.253403946860489,3.582680313375989,8.911506915530412,4.80116936933331,d2m,../Results/9/1_7T
5.12328795377733,3.5262935794507344,8.911506915530412,4.80116936933331,e,../Results/9/1_7T
5.363219834020942,3.6079460581236775,8.911506915530412,4.80116936933331,fg10,../Results/9/1_7T
5.1333832393293735,3.5371366297874713,8.911506915530412,4.80116936933331,msl,../Results/9/1_7T
5.149289394676155,3.5392292588305194,8.911506915530412,4.80116936933331,mwd,../Results/9/1_7T
5.165958045617247,3.5487726667757187,8.911506915530412,4.80116936933331,mwp,../Results/9/1_7T
5.141688775254402,3.5238249295247206,8.911506915530412,4.80116936933331,sf,../Results/9/1_7T
5.2967593771351,3.5987523441171185,8.911506915530412,4.80116936933331,siconc,../Results/9/1_7T
5.127193012214757,3.5271813214171464,8.911506915530412,4.80116936933331,slhf,../Results/9/1_7T
5.1316896564230285,3.5218165113821405,8.911506915530412,4.80116936933331,smlt,../Results/9/1_7T
5.153722121159707,3.5268961388168076,8.911506915530412,4.80116936933331,sshf,../Results/9/1_7T
5.1248653513751945,3.464142473406674,8.911506915530412,4.80116936933331,ssrd,../Results/9/1_7T
5.241654577288286,3.553129921899571,8.911506915530412,4.80116936933331,sst,../Results/9/1_7T
5.151619019226163,3.5408483007071965,8.911506915530412,4.80116936933331,swh,../Results/9/1_7T
5.234667369289959,3.5811943270730056,8.911506915530412,4.80116936933331,t2m,../Results/9/1_7T
5.095162547448063,3.491690188168554,8.911506915530412,4.80116936933331,tcc,../Results/9/1_7T
5.18136773095663,3.55853346634887,8.911506915530412,4.80116936933331,tp,../Results/9/1_7T
5.179667099561932,3.545312761874679,8.911506915530412,4.80116936933331,u10,../Results/9/1_7T
5.183016913467523,3.520912001571873,8.911506915530412,4.80116936933331,v10,../Results/9/1_7T
5.215189003493835,3.373922552655057,8.699484480824045,4.645978212641726,all,../Results/10/2_3T
5.2560581132780655,3.3886109096834587,8.699484480824045,4.645978212641726,d2m,../Results/10/2_3T
5.2031110009807255,3.36542559809786,8.699484480824045,4.645978212641726,e,../Results/10/2_3T
5.34637659020308,3.411786730844399,8.699484480824045,4.645978212641726,fg10,../Results/10/2_3T
5.219305276721772,3.38046486330571,8.699484480824045,4.645978212641726,msl,../Results/10/2_3T
5.187998074162715,3.3639736298339233,8.699484480824045,4.645978212641726,mwd,../Results/10/2_3T
5.209489345780598,3.3702989181389733,8.699484480824045,4.645978212641726,mwp,../Results/10/2_3T
5.410535071841724,3.4373601620959975,8.699484480824045,4.645978212641726,sf,../Results/10/2_3T
5.450321510260032,3.440579765747271,8.699484480824045,4.645978212641726,siconc,../Results/10/2_3T
5.196646434900049,3.362331465701291,8.699484480824045,4.645978212641726,slhf,../Results/10/2_3T
5.213171613492818,3.372516950461351,8.699484480824045,4.645978212641726,smlt,../Results/10/2_3T
5.2165645200727395,3.374895366555423,8.699484480824045,4.645978212641726,sshf,../Results/10/2_3T
5.339520773595212,3.421342669858354,8.699484480824045,4.645978212641726,ssrd,../Results/10/2_3T
5.295649115583973,3.412547259975913,8.699484480824045,4.645978212641726,sst,../Results/10/2_3T
5.212850994347243,3.3723579028043957,8.699484480824045,4.645978212641726,swh,../Results/10/2_3T
5.256732777540113,3.387884307147865,8.699484480824045,4.645978212641726,t2m,../Results/10/2_3T
5.221704478577268,3.374131011218992,8.699484480824045,4.645978212641726,tcc,../Results/10/2_3T
5.198230061495317,3.3830299002572075,8.699484480824045,4.645978212641726,tp,../Results/10/2_3T
5.196317788009315,3.37617910118,8.699484480824045,4.645978212641726,u10,../Results/10/2_3T
5.181747947269314,3.3585450349253207,8.699484480824045,4.645978212641726,v10,../Results/10/2_3T
